s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50
3.00E-09,8.32E-09,7.20E-09,7.28E-09,7.58E-09,7.55E-09,7.45E-09,7.48E-09,7.65E-09,7.57E-09,7.27E-09,7.09E-09,6.92E-09,7.04E-09,7.40E-09,7.63E-09,7.64E-09,7.52E-09,7.47E-09,7.32E-09,7.39E-09,7.56E-09,7.45E-09,7.32E-09,7.37E-09,7.38E-09,7.70E-09,7.82E-09,7.28E-09,7.24E-09,7.81E-09,7.57E-09,7.25E-09,7.48E-09,7.65E-09,7.82E-09,7.47E-09,7.23E-09,7.81E-09,7.76E-09,7.29E-09,7.44E-09,7.47E-09,7.65E-09,7.82E-09,7.76E-09,7.56E-09,7.27E-09,7.28E-09,7.57E-09
7.37E-09,7.38E-09,7.70E-09,7.82E-09,7.28E-09,7.24E-09,7.81E-09,7.57E-09,7.25E-09,7.48E-09,7.65E-09,7.82E-09,7.47E-09,7.23E-09,7.81E-09,7.76E-09,7.29E-09,7.44E-09,7.47E-09,7.65E-09,7.82E-09,7.76E-09,7.56E-09,7.27E-09,7.28E-09,7.57E-09,7.77E-09,7.57E-09,7.45E-09,7.67E-09,7.56E-09,7.40E-09,7.80E-09,7.77E-09,7.45E-09,7.32E-09,7.21E-09,7.48E-09,7.64E-09,7.77E-09,7.91E-09,7.65E-09,7.35E-09,7.58E-09,7.69E-09,7.56E-09,7.62E-09,7.52E-09,7.68E-09,7.76E-09
7.57E-09,7.77E-09,7.57E-09,7.45E-09,7.67E-09,7.56E-09,7.40E-09,7.80E-09,7.77E-09,7.45E-09,7.32E-09,7.21E-09,7.48E-09,7.64E-09,7.77E-09,7.91E-09,7.65E-09,7.35E-09,7.58E-09,7.69E-09,7.56E-09,7.62E-09,7.52E-09,7.68E-09,7.76E-09,7.52E-09,7.53E-09,7.63E-09,7.54E-09,7.75E-09,7.54E-09,7.36E-09,7.79E-09,7.88E-09,7.56E-09,7.30E-09,7.73E-09,7.94E-09,7.41E-09,7.45E-09,7.72E-09,7.55E-09,7.80E-09,7.83E-09,7.41E-09,7.53E-09,7.80E-09,7.66E-09,7.52E-09,7.49E-09
7.52E-09,7.53E-09,7.63E-09,7.54E-09,7.75E-09,7.54E-09,7.36E-09,7.79E-09,7.88E-09,7.56E-09,7.30E-09,7.73E-09,7.94E-09,7.41E-09,7.45E-09,7.72E-09,7.55E-09,7.80E-09,7.83E-09,7.41E-09,7.53E-09,7.80E-09,7.66E-09,7.52E-09,7.49E-09,7.73E-09,7.88E-09,7.37E-09,7.50E-09,7.84E-09,7.55E-09,7.69E-09,7.67E-09,7.64E-09,7.74E-09,7.50E-09,7.90E-09,7.92E-09,7.58E-09,7.56E-09,7.53E-09,7.74E-09,7.65E-09,7.63E-09,7.73E-09,7.64E-09,7.65E-09,7.67E-09,7.77E-09,7.61E-09
7.73E-09,7.88E-09,7.37E-09,7.50E-09,7.84E-09,7.55E-09,7.69E-09,7.67E-09,7.64E-09,7.74E-09,7.50E-09,7.90E-09,7.92E-09,7.58E-09,7.56E-09,7.53E-09,7.74E-09,7.65E-09,7.63E-09,7.73E-09,7.64E-09,7.65E-09,7.67E-09,7.77E-09,7.61E-09,7.49E-09,7.45E-09,7.64E-09,7.96E-09,7.71E-09,7.44E-09,7.40E-09,7.89E-09,7.83E-09,7.52E-09,7.81E-09,7.69E-09,7.60E-09,7.76E-09,7.83E-09,7.69E-09,7.51E-09,7.53E-09,7.61E-09,7.75E-09,8.14E-09,7.82E-09,7.39E-09,7.68E-09,7.71E-09
7.49E-09,7.45E-09,7.64E-09,7.96E-09,7.71E-09,7.44E-09,7.40E-09,7.89E-09,7.83E-09,7.52E-09,7.81E-09,7.69E-09,7.60E-09,7.76E-09,7.83E-09,7.69E-09,7.51E-09,7.53E-09,7.61E-09,7.75E-09,8.14E-09,7.82E-09,7.39E-09,7.68E-09,7.71E-09,7.82E-09,7.65E-09,7.70E-09,7.81E-09,7.64E-09,7.83E-09,7.77E-09,7.64E-09,7.62E-09,7.62E-09,7.85E-09,7.89E-09,7.84E-09,7.76E-09,7.64E-09,7.90E-09,7.86E-09,7.53E-09,7.56E-09,7.77E-09,7.85E-09,7.95E-09,8.04E-09,7.99E-09,7.94E-09
7.82E-09,7.65E-09,7.70E-09,7.81E-09,7.64E-09,7.83E-09,7.77E-09,7.64E-09,7.62E-09,7.62E-09,7.85E-09,7.89E-09,7.84E-09,7.76E-09,7.64E-09,7.90E-09,7.86E-09,7.53E-09,7.56E-09,7.77E-09,7.85E-09,7.95E-09,8.04E-09,7.99E-09,7.94E-09,7.83E-09,7.65E-09,7.65E-09,7.88E-09,7.77E-09,7.60E-09,7.63E-09,7.92E-09,8.16E-09,7.93E-09,7.83E-09,7.85E-09,7.62E-09,7.43E-09,7.54E-09,7.96E-09,7.97E-09,7.67E-09,7.88E-09,8.00E-09,7.56E-09,7.81E-09,8.10E-09,7.63E-09,7.61E-09
7.83E-09,7.65E-09,7.65E-09,7.88E-09,7.77E-09,7.60E-09,7.63E-09,7.92E-09,8.16E-09,7.93E-09,7.83E-09,7.85E-09,7.62E-09,7.43E-09,7.54E-09,7.96E-09,7.97E-09,7.67E-09,7.88E-09,8.00E-09,7.56E-09,7.81E-09,8.10E-09,7.63E-09,7.61E-09,7.96E-09,7.89E-09,7.72E-09,7.96E-09,7.75E-09,7.65E-09,7.95E-09,7.79E-09,7.90E-09,7.85E-09,7.58E-09,7.85E-09,8.20E-09,8.13E-09,7.77E-09,7.58E-09,8.03E-09,8.09E-09,7.61E-09,7.66E-09,7.71E-09,7.80E-09,7.89E-09,8.06E-09,7.97E-09
7.96E-09,7.89E-09,7.72E-09,7.96E-09,7.75E-09,7.65E-09,7.95E-09,7.79E-09,7.90E-09,7.85E-09,7.58E-09,7.85E-09,8.20E-09,8.13E-09,7.77E-09,7.58E-09,8.03E-09,8.09E-09,7.61E-09,7.66E-09,7.71E-09,7.80E-09,7.89E-09,8.06E-09,7.97E-09,7.74E-09,7.79E-09,7.82E-09,8.00E-09,7.75E-09,7.64E-09,7.77E-09,7.95E-09,8.19E-09,7.88E-09,7.71E-09,7.99E-09,7.90E-09,7.81E-09,7.90E-09,8.04E-09,8.00E-09,7.80E-09,7.79E-09,8.00E-09,7.88E-09,7.86E-09,7.97E-09,7.82E-09,7.99E-09
7.74E-09,7.79E-09,7.82E-09,8.00E-09,7.75E-09,7.64E-09,7.77E-09,7.95E-09,8.19E-09,7.88E-09,7.71E-09,7.99E-09,7.90E-09,7.81E-09,7.90E-09,8.04E-09,8.00E-09,7.80E-09,7.79E-09,8.00E-09,7.88E-09,7.86E-09,7.97E-09,7.82E-09,7.99E-09,8.05E-09,7.77E-09,7.94E-09,7.98E-09,7.80E-09,8.04E-09,7.99E-09,7.74E-09,7.65E-09,7.91E-09,8.16E-09,7.95E-09,7.69E-09,7.78E-09,8.06E-09,8.16E-09,8.21E-09,8.24E-09,7.98E-09,7.66E-09,7.71E-09,8.09E-09,8.21E-09,8.22E-09,8.23E-09
8.05E-09,7.77E-09,7.94E-09,7.98E-09,7.80E-09,8.04E-09,7.99E-09,7.74E-09,7.65E-09,7.91E-09,8.16E-09,7.95E-09,7.69E-09,7.78E-09,8.06E-09,8.16E-09,8.21E-09,8.24E-09,7.98E-09,7.66E-09,7.71E-09,8.09E-09,8.21E-09,8.22E-09,8.23E-09,8.12E-09,7.89E-09,7.72E-09,7.94E-09,8.20E-09,8.00E-09,7.82E-09,7.95E-09,8.05E-09,7.98E-09,7.89E-09,8.08E-09,8.13E-09,7.83E-09,7.98E-09,8.15E-09,7.85E-09,7.84E-09,8.14E-09,8.01E-09,7.90E-09,8.11E-09,7.86E-09,7.87E-09,8.28E-09
